"","Lat","Lon","age","BNT","BBI","TBT","TBI","TBIR","BNI","total"
"1",41.149387,-73.609083,98,0,0,1,0,0,0,9.25800138
"2",41.805249,-73.472789,43,0,0,1,0,0,0,1.23091326
"3",41.609005,-73.452925,100,0,0,0.0558982850275891,0,0.944101714972411,0,23.78173068
"4",41.884931,-73.440747,71,0,0.112614098757286,0.870202353458704,0.0171835477840097,0,0,7.93491552
"5",41.729005,-73.391832,100,0,0,0.275768481303986,0,0.724231518696014,0,21.01987962
"6",41.638175,-73.348221,57,0,0,0.976106134061957,0.0238938659380428,0,0,13.53350106
"7",41.27695,-73.337874,79,0,0,0.95062687609314,0,0.0493731239068602,0,31.86914004
"8",41.925078,-73.326597,96,0,0,0.809446742192651,0,0.190553257807349,0,10.00879902
"9",41.570563,-73.311003,45,0,0.0549179081787777,0.633604439039222,0.0736166007905138,0.237861051991487,0,7.1752824
"10",41.570563,-73.311003,48,0,0.0549179081787777,0.633604439039222,0.0736166007905138,0.237861051991487,0,7.1752824
"11",41.823266,-73.300795,75,0,0.184634611589818,0.244773118087595,0,0.144276035744825,0.426316234577762,5.80420134
"12",41.615947,-73.293023,80,0,0,0.166083298368041,0,0.833916701631959,0,9.87893928
"13",41.939359,-73.233891,96,0,0,0.0902616867710504,0,0.90973831322895,0,29.49310494
"14",41.72267,-73.223689,84,0,0,0.712806053962802,0.0671574862689699,0.220036459768228,0,18.60893892
"15",41.403617,-73.207726,105,0,0,0.244742855048203,0,0.755257144951797,0,13.39082442
"16",42.038954,-73.180976,63,0,0,0.409106244302316,0.101229144384387,0.292094665891423,0.197569945421874,22.79406582
"17",41.791342,-73.177522,69,0,0.037328063025363,0.423037735162476,0,0.539634201812161,0,23.98101984
"18",41.476631,-73.170427,59,0,0,1,0,0,0,6.84106128
"19",41.849924,-73.109406,92,0,0,0.040580412702704,0,0.959419587297296,0,11.70084798
"20",41.646248,-73.100015,96,0,0,0.102235272630204,0,0.329128791604029,0.568635935765767,19.4099679
"21",41.323943,-73.095231,76,0,0,0.643646449813851,0,0.356353550186149,0,3.67703226
"22",41.705938,-73.028025,69,0,0,1,0,0,0,17.15184828
"23",41.705938,-73.028025,70,0,0,1,0,0,0,17.15184828
"24",42.028156,-73.014808,81,0,0,0.283898477653518,0,0.716101522346482,0,13.39186068
"25",41.449939,-72.988538,76,0,0,0.357645883580129,0,0.49727908427112,0.145075032148751,19.76409612
"26",41.788857,-72.981173,74,0,0,1,0,0,0,0.63615456
"27",41.674503,-72.889063,35,0,0,1,0,0,0,13.14239472
"28",41.769735,-72.829393,68,0,0,0.783128152816399,0,0.0876430557690427,0.129228791414558,7.80609204
"29",41.590665,-72.748719,87,0,0,0.692097731804036,0,0.307902268195964,0,7.41324042
"30",41.297024,-72.73844,83,0,0,0.979493317586122,0,0.020506682413878,0,20.59610382
"31",41.817598,-72.721133,63,0,0,1,0,0,0,20.3971419
"32",41.369103,-72.696711,94,0,0,0.721028603574365,0,0.278971396425635,0,15.12437832
"33",41.390174,-72.675675,80,0,0,0.168580200727573,0,0.831419799272427,0,10.5695793
"34",41.434292,-72.640837,59,0,0,0.189664578808767,0,0.553738734485327,0.256596686705906,10.39674204
"35",41.966475,-72.629878,23,0,0.0804878048780488,0.706174148698009,0.213338046423942,0,0,4.6288098
"36",41.966475,-72.629878,49,0,0.0804878048780488,0.706174148698009,0.213338046423942,0,0,4.6288098
"37",41.483304,-72.628236,72,0,0,0.76936080128914,0.0421814275332554,0.188457771177604,0,10.35681876
"38",41.590365,-72.54712,88,0,0.108765744453477,0.526163879323731,0,0.365070376222793,0,5.97120282
"39",41.358407,-72.54118,66,0,0,1,0,0,0,14.97324798
"40",41.64136,-72.533006,8,0,0,0.980737779393058,0,0.0192622206069417,0,1.20053448
"41",41.410476,-72.519375,90,0,0,0.310894497257476,0,0.689105502742524,0,16.9534863
"42",41.738839,-72.471442,94,0,0,0.108822162936282,0,0.891177837063717,0,11.38691574
"43",42.016112,-72.433926,86,0,0,0.874126294974853,0,0.125873705025147,0,6.3438201
"44",41.469236,-72.433754,82,0,0,0.22831291446555,0.000374658124461429,0.771312427409988,0,14.5572714
"45",41.569904,-72.38748,34,0,0,0,0,0,0,0
"46",41.644373,-72.372893,85,0,0,0.652325289191884,0,0.347674710808116,0,13.45621788
"47",41.884861,-72.352579,26,0,0,0.908517770328768,0,0.0386374231358359,0.0528448065353964,4.91372676
"48",41.71236,-72.316275,78,0,0,0.983928422108872,0.016071577891128,0,0,29.3509737
"49",42.023971,-72.283352,74,0,0,0.104612463390367,0,0.836181527725228,0.0592060088844047,15.56811576
"50",41.794837,-72.254118,93,0,0,0.795670415180975,0,0.204329584819025,0,16.10658918
"51",41.54136,-72.222786,63,0,0,0.529297863770569,0,0.470702136229431,0,14.75945118
"52",41.7606,-72.162336,90,0,0,0.801190695108496,0,0.198809304891504,0,9.49083264
"53",41.697763,-72.161228,68,0,0,0.20645803734524,0.166455246600365,0,0.627086716054394,8.59899456
"54",41.404331,-72.152231,59,0,0,0.925868115079007,0,0.074131884920993,0,36.26931816
"55",41.75621,-72.120758,60,0,0,0.259944745643007,0.00351052117737479,0.675972663633909,0.0605720695457095,2.62561014
"56",41.855452,-72.036928,60,0,0,0.586712584847952,0.0118917941863397,0.401395620965709,0,11.46588966
"57",41.69366,-72.034207,82,0,0,0.4436108225827,0,0.5563891774173,0,14.12460558
"58",41.378413,-72.00958,30,0,0,0.855358217940999,0,0.144641782059001,0,1.44945504
